Company,Role,Location,Salary Range,Status,Date Applied,Follow Up Date,Response,Interview Stage,Days To Response,Response Type,Cover Letter Used,What Worked,Tags,Notes,Career Page URL,Remote Policy,Remote Likelihood Score,Remote Evidence,Submission Lane,Submitted Resume Path,Submission Evidence Path,Submission Verified At
Magic Media,C++ Developer,,,Draft,,,,Initial,,,2026-02-20_magic-media_c-developer,,developer;python;vfx;training;game;technical;support;programmer;software;growth;video;c;content;go;engineering;full-time;digital-nomad;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-20; pending review and submission. Role track=fde; signals=customer-integration,python; method=direct; lane=manual. Job capture: applications/magic-media/jobs/2026-02-20_magic-media_c-developer_c5fb3a3e.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=90/50; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-c-developer-magic-media-1130444,remote,90,remote_feed_source;remote_keyword,manual,,,
InfStones,DevOps Engineer,Texas,,Draft,,,,Initial,,,2026-02-20_infstones_devops-engineer,,amazon;web3;system;security;support;software;testing;test;code;qa;devops;serverless;cloud;git;node;administrator;management;reliability;engineer;linux;full-time;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-20; pending review and submission. Role track=fde; signals=customer-integration,python; method=direct; lane=manual. Job capture: applications/infstones/jobs/2026-02-20_infstones_devops-engineer_4f23b89c.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=90/50; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-devops-engineer-infstones-1130436,remote,90,remote_feed_source;remote_keyword,manual,,,
CI&amp;T,Job 27573 Mid Data Developer Brasil,Brazil,,Draft,,,,Initial,,,2026-02-20_ci-amp-t_job-27573-mid-data-developer-brasil,,developer;cloud;digital-nomad;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-20; pending review and submission. Role track=fde; signals=customer-integration,python; method=direct; lane=manual. Job capture: applications/ci-amp-t/jobs/2026-02-20_ci-amp-t_job-27573-mid-data-developer-brasil_d466165d.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=90/50; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-job-27573-mid-data-developer-brasil-ciampt-1130435,remote,90,remote_feed_source;remote_keyword,manual,,,
CI&amp;T,Job 27611 MidSenior Data Developer Brasil,Brazil,,Draft,,,,Initial,,,2026-02-20_ci-amp-t_job-27611-midsenior-data-developer-brasil,,developer;design;unity;digital-nomad;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-20; pending review and submission. Role track=fde; signals=customer-integration,python; method=direct; lane=manual. Job capture: applications/ci-amp-t/jobs/2026-02-20_ci-amp-t_job-27611-midsenior-data-developer-brasil_16ac28e8.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=90/50; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-job-27611-midsenior-data-developer-brasil-ciampt-1130434,remote,90,remote_feed_source;remote_keyword,manual,,,
Ubiminds,Mid Level DevOps Engineer CI CD Optimization,Remote,,Draft,,,,Initial,,,2026-02-20_ubiminds_mid-level-devops-engineer-ci-cd-optimization,,design;hr;system;security;docker;recruiter;support;developer;software;growth;code;devops;management;reliability;engineer;engineering;full-time;digital-nomad;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-20; pending review and submission. Role track=fde; signals=customer-integration,python; method=direct; lane=manual. Job capture: applications/ubiminds/jobs/2026-02-20_ubiminds_mid-level-devops-engineer-ci-cd-optimization_b3f3fd04.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=93/50; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-mid-level-devops-engineer-ci-cd-optimization-ubiminds-1130430,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
ARC&#39;TERYX,Director Asset Protection NAM Retail,"North Vancouver, BC (Corporate)",,Draft,,,,Initial,,,2026-02-20_arc-39-teryx_director-asset-protection-nam-retail,,director;security;training;support;growth;financial;investment;leader;lead;operations;health;ecommerce;forward-deployed;customer-facing;api-integration;voice-ai,"Discovered by Ralph Loop CI on 2026-02-20; pending review and submission. Role track=fde; signals=customer-integration,voice-audio; method=direct; lane=manual. Job capture: applications/arc-39-teryx/jobs/2026-02-20_arc-39-teryx_director-asset-protection-nam-retail_8a569a23.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-director-asset-protection-nam-retail-arc39teryx-1130429,remote,90,remote_feed_source;remote_keyword,manual,,,
"Coupa Software, Inc.",Coupa Pay Customer Success Manager 11184,"Los Angeles, California, United States",,Draft,,,,Initial,,,2026-02-20_coupa-software-inc_coupa-pay-customer-success-manager-11184,,manager;consulting;technical;software;growth;financial;investment;finance;bank;strategy;management;lead;sales;recruitment;forward-deployed;customer-facing;api-integration;voice-ai,"Discovered by Ralph Loop CI on 2026-02-20; pending review and submission. Role track=fde; signals=customer-integration,voice-audio; method=direct; lane=manual. Job capture: applications/coupa-software-inc/jobs/2026-02-20_coupa-software-inc_coupa-pay-customer-success-manager-11184_9ca850a3.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=93/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-coupa-pay-customer-success-manager-11184-coupa-software-inc-1130419,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
Swayable,Research Data Scientist,Remote,,Draft,,,,Initial,,,2026-02-20_swayable_research-data-scientist,,python;growth;director;strategy;content;executive;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-20; pending review and submission. Role track=fde; signals=customer-integration,python; method=direct; lane=manual. Job capture: applications/swayable/jobs/2026-02-20_swayable_research-data-scientist_7b95c72f.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=93/50; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-research-data-scientist-swayable-1130418,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
Exaware,Operations and Order Management Manager,USA,$50K-$60K,Draft,,,,Initial,,,2026-02-20_exaware_operations-and-order-management-manager,,excel;documentation;crm;hardware;business-operations;microsoft-office;outlook,"Discovered by Ralph Loop CI on 2026-02-20; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/exaware/jobs/2026-02-20_exaware_operations-and-order-management-manager_3489e126.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/all-others/operations-and-order-management-manager-2088635,remote,90,remote_feed_source;remote_keyword,manual,,,
Relativity Space,Senior IT Systems Engineer Storage and Infrastructure,"Long Beach, California",,Draft,,,,Initial,,,2026-02-24_relativity-space_senior-it-systems-engineer-storage-and-infrastructure,,technical;support;software;voice;strategy;lead;senior;go;engineer;forward-deployed;customer-facing;api-integration;voice-ai,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=fde; signals=customer-integration,voice-audio; method=direct; lane=manual. Job capture: applications/relativity-space/jobs/2026-02-24_relativity-space_senior-it-systems-engineer-storage-and-infrastructure_da6e00ab.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-senior-it-systems-engineer-storage-and-infrastructure-relativity-space-1130518,remote,90,remote_feed_source;remote_keyword,manual,,,
"Okta, Inc.",Senior Solutions Engineer North East,,,Draft,,,,Initial,,,2026-02-24_okta-inc_senior-solutions-engineer-north-east,,security;senior;engineer;forward-deployed;customer-facing;api-integration,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=fde; signals=fde-title; method=direct; lane=manual. Job capture: applications/okta-inc/jobs/2026-02-24_okta-inc_senior-solutions-engineer-north-east_8d955900.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-senior-solutions-engineer-north-east-okta-inc-1130498,remote,90,remote_feed_source;remote_keyword,manual,,,
ComputerCare,Data Analyst II,Remote,,Draft,,,,Initial,,,2026-02-24_computercare_data-analyst-ii,,analyst;system;python;technical;support;excel;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=fde; signals=customer-integration,python; method=direct; lane=manual. Job capture: applications/computercare/jobs/2026-02-24_computercare_data-analyst-ii_f189db33.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=93/50; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-data-analyst-ii-computercare-1130490,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
Solera Health,Vice President of Engagement Transformation,,,Draft,,,,Initial,,,2026-02-24_solera-health_vice-president-of-engagement-transformation,,architect;growth;leader;strategy;management;medical;health;executive;forward-deployed;customer-facing;api-integration;voice-ai,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=fde; signals=customer-integration,voice-audio; method=direct; lane=manual. Job capture: applications/solera-health/jobs/2026-02-24_solera-health_vice-president-of-engagement-transformation_a6d9ba91.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-vice-president-of-engagement-transformation-solera-health-1130487,remote,90,remote_feed_source;remote_keyword,manual,,,
Solera Health,Data Scientist,,,Draft,,,,Initial,,,2026-02-24_solera-health_data-scientist,,design;python;support;medical;health;engineering;digital-nomad;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=fde; signals=customer-integration,python; method=direct; lane=manual. Job capture: applications/solera-health/jobs/2026-02-24_solera-health_data-scientist_7961cd11.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=90/50; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-data-scientist-solera-health-1130479,remote,90,remote_feed_source;remote_keyword,manual,,,
MoonPay,Partner Success Manager,,,Draft,,,,Initial,,,2026-02-24_moonpay_partner-success-manager,,manager;web3;crypto;system;training;technical;support;software;voice;financial;operations;operational;excel;health;healthcare;forward-deployed;customer-facing;api-integration;voice-ai,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=fde; signals=customer-integration,voice-audio; method=direct; lane=manual. Job capture: applications/moonpay/jobs/2026-02-24_moonpay_partner-success-manager_140a90c3.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-partner-success-manager-moonpay-1130467,remote,90,remote_feed_source;remote_keyword,manual,,,
OpenAI,Administrative Business Partner,San Francisco,,Draft,,,,Initial,,,2026-02-24_openai_administrative-business-partner,,security;support;growth;travel;management;operations;operational;executive;forward-deployed;customer-facing;api-integration;voice-ai,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=fde; signals=customer-integration,voice-audio; method=direct; lane=manual. Job capture: applications/openai/jobs/2026-02-24_openai_administrative-business-partner_3aaddc0f.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=93/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-administrative-business-partner-openai-1130462,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
Lavendo,Technical Product Manager,San Francisco,,Draft,,,,Initial,,,2026-02-24_lavendo_technical-product-manager,,manager;system;technical;growth;voice;video;api;management;lead;engineering;forward-deployed;customer-facing;api-integration;voice-ai,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=fde; signals=customer-integration,voice-audio; method=direct; lane=manual. Job capture: applications/lavendo/jobs/2026-02-24_lavendo_technical-product-manager_2bfed1e2.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-technical-product-manager-lavendo-1130461,remote,90,remote_feed_source;remote_keyword,manual,,,
shopware AG,AI-Native Cloud Infrastructure Generalist (m/f/d),"Europe, Germany",,Draft,,,,Initial,,,2026-02-24_shopware-ag_ai-native-cloud-infrastructure-generalist-m-f-d,,cloud;ecommerce;fullstack;kubernetes;security;ai-ml;documentation;hardware;onboarding;startup;serverless;infrastructure;gpu,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/shopware-ag/jobs/2026-02-24_shopware-ag_ai-native-cloud-infrastructure-generalist-m-f-d_625b0b5a.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/ai-ml/ai-native-cloud-infrastructure-generalist-m-f-d-2088634,remote,90,remote_feed_source;remote_keyword,manual,,,
"Fluence International, Inc.","Full-Stack Developer (6 months, extendable)",Worldwide,"$3,5k–$5k/month",Draft,,,,Initial,,,2026-02-24_fluence-international-inc_full-stack-developer-6-months-extendable,,admin;api;aws;backend;frontend;fullstack;javascript;react;security;ui-ux;ai-ml;documentation;healthcare;typescript;web-applications;solid;serverless;next-js;github;rest;mental-health;baas;datadog,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/fluence-international-inc/jobs/2026-02-24_fluence-international-inc_full-stack-developer-6-months-extendable_ff54934b.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/full-stack-developer-6-months-extendable-2088631,remote,90,remote_feed_source;remote_keyword,manual,,,
A.Team,Senior Independent AI Engineer / Architect,"Americas, Europe, Israel",$120 - $170 /hour,Draft,,,,Initial,,,2026-02-24_a-team_senior-independent-ai-engineer-architect,,go;ui-ux;wordpress;chat;apple;testing;catalyst,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/a-team/jobs/2026-02-24_a-team_senior-independent-ai-engineer-architect_3dd487b0.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,remote,90,remote_feed_source;remote_keyword,manual,,,
A.Team,Senior Independent Software Developer,"Americas, Europe, Israel",$90 - $150 /hour,Draft,,,,Initial,,,2026-02-24_a-team_senior-independent-software-developer,,go;wordpress;chat;apple;testing;catalyst,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/a-team/jobs/2026-02-24_a-team_senior-independent-software-developer_34096210.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,remote,90,remote_feed_source;remote_keyword,manual,,,
Coalition Technologies,Copywriter,Worldwide,$20k -$35k,Draft,,,,Initial,,,2026-02-24_coalition-technologies_copywriter,,accounting;excel;research;data-analysis;bookkeeping;google-sheets;quickbooks;data-entry;insurance;g-suite,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/coalition-technologies/jobs/2026-02-24_coalition-technologies_copywriter_7b957d7d.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/writing/copywriter-1749306,remote,90,remote_feed_source;remote_keyword,manual,,,
GNO Partners,Senior Amazon Brand Manager,Worldwide,$220k-$300k OTE,Draft,,,,Initial,,,2026-02-24_gno-partners_senior-amazon-brand-manager,,amazon;backend;project-management;ppc,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/gno-partners/jobs/2026-02-24_gno-partners_senior-amazon-brand-manager_343dee25.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/marketing/senior-amazon-brand-manager-2082736,remote,90,remote_feed_source;remote_keyword,manual,,,
"Vox Media, LLC",Deputy Editor Future Perfect,DC or NYC,,Draft,,,,Initial,,,2026-02-24_vox-media-llc_deputy-editor-future-perfect,,training;growth;lead;health;recruiting,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/vox-media-llc/jobs/2026-02-24_vox-media-llc_deputy-editor-future-perfect_4d8d556f.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-deputy-editor-future-perfect-vox-media-llc-1130520,remote,90,remote_feed_source;remote_keyword,manual,,,
Yassir,Senior Mobile iOS Engineer,,,Draft,,,,Initial,,,2026-02-24_yassir_senior-mobile-ios-engineer,,ios;design;redis;frontend;back-end;technical;code;web;financial;fintech;cloud;mobile;senior;go;engineer;engineering;digital-nomad,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/yassir/jobs/2026-02-24_yassir_senior-mobile-ios-engineer_d918367b.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-senior-mobile-ios-engineer-yassir-1130516,remote,90,remote_feed_source;remote_keyword,manual,,,
Brave,Software Engineer UI,Anywhere,,Draft,,,,Initial,,,2026-02-24_brave_software-engineer-ui,,software;ui;design;react;frontend;full-stack;code;web;javascript;c;css;html;ads;mobile;engineer;engineering;digital-nomad,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/brave/jobs/2026-02-24_brave_software-engineer-ui_91ae0f19.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-software-engineer-ui-brave-1130515,remote,90,remote_feed_source;remote_keyword,manual,,,
Wild Alaskan Company,Executive Assistant,,,Draft,,,,Initial,,,2026-02-24_wild-alaskan-company_executive-assistant,,assistant;founder;executive;ecommerce,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/wild-alaskan-company/jobs/2026-02-24_wild-alaskan-company_executive-assistant_397c8c5f.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-executive-assistant-wild-alaskan-company-1130506,remote,90,remote_feed_source;remote_keyword,manual,,,
Unlock Health,Senior Media Director Performance Media,Remote,,Draft,,,,Initial,,,2026-02-24_unlock-health_senior-media-director-performance-media,,director;testing;growth;strategy;senior;analytics;sales;medical;healthcare;executive,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/unlock-health/jobs/2026-02-24_unlock-health_senior-media-director-performance-media_d0f0febf.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=93/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-senior-media-director-performance-media-unlock-health-1130505,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
Agoda,Connectivity Manager,Toronto,,Draft,,,,Initial,,,2026-02-24_agoda_connectivity-manager,,manager;technical;travel;operational,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/agoda/jobs/2026-02-24_agoda_connectivity-manager_b4cfc574.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-connectivity-manager-agoda-1130504,remote,90,remote_feed_source;remote_keyword,manual,,,
Sociallyin,Social Media Strategist,,,Draft,,,,Initial,,,2026-02-24_sociallyin_social-media-strategist,,strategist;growth;strategy;lead;content;junior;marketing;analytics,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/sociallyin/jobs/2026-02-24_sociallyin_social-media-strategist_ef38b38c.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-social-media-strategist-sociallyin-1130503,remote,90,remote_feed_source;remote_keyword,manual,,,
ARRISE,Strategic Live Casino Manager,,,Draft,,,,Initial,,,2026-02-24_arrise_strategic-live-casino-manager,,manager;training;gaming;growth;microsoft;strategy;management;excel;recruitment,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/arrise/jobs/2026-02-24_arrise_strategic-live-casino-manager_cda8112e.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-strategic-live-casino-manager-arrise-1130502,remote,90,remote_feed_source;remote_keyword,manual,,,
Nest Veterinary,Implementation Specialist,United States,,Draft,,,,Initial,,,2026-02-24_nest-veterinary_implementation-specialist,,saas;system;training;trainer;technical;support;growth;leader;management;lead;operational;go;health;healthcare,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/nest-veterinary/jobs/2026-02-24_nest-veterinary_implementation-specialist_3831de1a.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-implementation-specialist-nest-veterinary-1130501,remote,90,remote_feed_source;remote_keyword,manual,,,
PointClickCare,PointClickCare Associate Data Scientist,,,Draft,,,,Initial,,,2026-02-24_pointclickcare_pointclickcare-associate-data-scientist,,analyst;health;healthcare;non-tech,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/pointclickcare/jobs/2026-02-24_pointclickcare_pointclickcare-associate-data-scientist_4456eda0.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-pointclickcare-associate-data-scientist-pointclickcare-1130500,remote,90,remote_feed_source;remote_keyword,manual,,,
RYZ Labs,Product Manager Customer Care,Buenos Aires,,Draft,,,,Initial,,,2026-02-24_ryz-labs_product-manager-customer-care,,manager;salesforce;support;strategy;management;lead;operational;ecommerce,"Discovered by Ralph Loop CI on 2026-02-24; pending review and submission. Role track=general; signals=customer-integration; method=direct; lane=manual. Job capture: applications/ryz-labs/jobs/2026-02-24_ryz-labs_product-manager-customer-care_84989dd6.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=93/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-product-manager-customer-care-ryz-labs-1130495,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
